observed_at,probe,url,asn,asn_registry_holder,cloudflare_as_organization,cloudflare_country,http_protocol,tls_version,user_agent,accept,accept_language,sec_fetch_mode,sec_fetch_dest,sec_fetch_site,sec_fetch_user,sec_ch_ua,signature_agent,client_ip_vendor_lists,client_ip,owner_network,header_names
2026-09-03T03:55:12.659Z,hdr1,https://gkoreli.com/does-llms-txt-work?probe=hdr1,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/2,TLSv1.3,ProbeAgent/1.0 (+headers-test),"text/markdown, text/html;q=0.9",,,,,,,,,,true,accept;accept-encoding;user-agent
2026-09-03T03:56:50.107Z,claudecode-webfetch,https://gkoreli.com/does-llms-txt-work?probe=claudecode-webfetch,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/1.1,TLSv1.3,Claude-User (claude-code/2.1.259; +https://support.anthropic.com/),"text/markdown, text/html, */*",,,,,,,,,,true,accept;accept-encoding;user-agent
2026-09-03T03:57:28.348Z,chatgpt,https://gkoreli.com/does-llms-txt-work?probe=chatgpt,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Limited,US,HTTP/2,TLSv1.3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko); compatible; ChatGPT-User/1.0; +https://openai.com/bot","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",,,,,,,chatgpt-user.json,9.129.45.186,false,accept;accept-encoding;accept-language;user-agent;x-envoy-expected-rq-timeout-ms;x-request-id
2026-09-03T03:58:09.527Z,claude,https://gkoreli.com/does-llms-txt-work?probe=claude,396982,GOOGLE-CLOUD-PLATFORM - Google LLC,Google LLC,US,HTTP/1.1,TLSv1.3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-User/1.0; +claude-user@anthropic.com)",*/*,,,,,,,,bots.json,34.162.230.222,false,accept;accept-encoding;user-agent
2026-09-03T04:01:10.423Z,gemini,https://gkoreli.com/does-llms-txt-work?probe=gemini,15169,GOOGLE - Google LLC,Google LLC,US,HTTP/1.1,TLSv1.3,Google,*/*,,,,,,,,,,false,accept;accept-encoding;user-agent
2026-09-03T04:03:18.285Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,3257,GTT-BACKBONE GTT Communications Inc.,Web2Objects LLC,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:18.303Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,9009,M247 M247 Europe SRL,Aventice LLC,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15","text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","en-US,en;q=0.9",navigate,document,none,,,,,,false,accept;accept-encoding;accept-language;priority;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:18.849Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,262988,AS262988 - Pombonet Telecomunicacoes e Informatica,Pombonet Telecomunicações e Informática,BR,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:18.904Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,132817,DZCRD-AS-AP - DZCRD Networks Ltd,DZCRD Networks Ltd,NL,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:18.935Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,13280,H3GIE Three Ireland (Hutchison) limited,Three Ireland (Hutchison) - Mobile Subscriber Pools,IE,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:19.278Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,212238,CDNEXT Datacamp Limited,Private Customer,ZA,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""143"", ""Google Chrome"";v=""143"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:22.939Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,7979,"SERVERS-COM - Servers.com, Inc.","Servers.com, Inc.",US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:03:30.770Z,grok,https://gkoreli.com/does-llms-txt-work?probe=grok,398781,OSL-188 - OCULUS NETWORKS INC,Private Customer,US,HTTP/2,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","en-US,en;q=0.9",navigate,document,none,,"""Chromium"";v=""142"", ""Google Chrome"";v=""142"", ""Not_A Brand"";v=""99""",,,,false,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;user-agent
2026-09-03T04:04:03.317Z,chrome-navigation,https://gkoreli.com/does-llms-txt-work?probe=chrome-navigation,62887,"WHITESKY-COMMUNICATIONS - WhiteSky Communications, LLC.","WhiteSky Communications, LLC.",US,HTTP/3,TLSv1.3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9,ka;q=0.8,ru;q=0.7",navigate,document,cross-site,,"""Chromium"";v=""152"", ""Not?A_Brand"";v=""24"", ""Google Chrome"";v=""152""",,,,true,accept;accept-encoding;accept-language;priority;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;upgrade-insecure-requests;user-agent
2026-09-03T04:59:33.418Z,duckai-path,https://gkoreli.com/probe/duckai-path,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Corporation,US,HTTP/2,TLSv1.3,DuckAssistBot/1.2; (+http://duckduckgo.com/duckassistbot.html),*/*,,,,,,,"""https://assistbot.duckduckgo.com""",duckassistbot.json,20.3.1.178,false,accept;accept-encoding;signature;signature-agent;signature-input;user-agent
2026-09-03T05:00:58.650Z,mistral-path,https://gkoreli.com/probe/mistral-path,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Corporation,SE,HTTP/2,TLSv1.3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; MistralAI-User/1.0; +https://docs.mistral.ai/robots)","text/html,application/xhtml+xml,application/xml,application/json;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","en-US,en;q=0.9",navigate,document,none,?1,"""Not_A Brand"";v=""8"", ""Chromium"";v=""120"", ""Google Chrome"";v=""120""",,mistralai-user-ips.json,20.240.194.83,false,accept;accept-encoding;accept-language;cache-control;pragma;sec-ch-ua;sec-ch-ua-mobile;sec-ch-ua-platform;sec-fetch-dest;sec-fetch-mode;sec-fetch-site;sec-fetch-user;upgrade-insecure-requests;user-agent
2026-09-03T05:00:58.734Z,mistral-path,https://gkoreli.com/probe/mistral-path,8075,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,Microsoft Limited,SE,HTTP/2,TLSv1.3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; MistralAI-User/1.0; +https://docs.mistral.ai/robots)","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",,,,,,,,mistralai-user-ips.json,51.12.243.114,false,accept;accept-encoding;content-length;upgrade-insecure-requests;user-agent
